maintenance_id,plant_id,maintenance_type,issue_severity,maintenance_cost,downtime_hours,maintenance_date
42,161,Replacement,Critical,70206.78,35.92,2024-03-11
43,131,Inspection,Critical,43186.81,55.38,2023-01-06
44,32,Inspection,High,1018.84,44.45,2023-01-25
45,122,Replacement,Critical,72400.56,54.51,2024-04-30
46,92,Inspection,Critical,85220.08,17.04,2023-02-11
47,74,Calibration,Medium,72097.16,56.45,2024-07-30
48,82,Inspection,Low,13525.78,23.08,2023-06-01
49,68,Inspection,Medium,56184.63,12.55,2023-12-03
50,73,Replacement,Low,43874.77,16.92,2023-04-08
51,58,Repair,Medium,55772.05,1.18,2023-02-16
52,139,Replacement,Critical,66970.12,49.19,2023-02-02
53,143,Repair,Critical,82219.28,53.98,2023-03-24
54,43,Replacement,Low,61406.58,16.07,2023-03-12
55,134,Replacement,Low,36570.48,25.69,2024-01-05
56,167,Repair,Medium,15286.1,17.5,2023-11-29
57,86,Repair,Critical,75177.72,67.59,2024-08-08
58,71,Calibration,High,73349.76,5.19,2024-07-10
59,37,Calibration,Low,84927.7,1.2,2024-06-19
60,31,Repair,Medium,70722.75,36.75,2023-02-18
61,176,Repair,Critical,22167.88,71.7,2023-02-05
62,197,Replacement,Low,29774.11,41.91,2023-06-15
63,136,Inspection,High,71399.84,4.98,2024-12-27
64,132,Repair,Medium,68306.45,27.98,2024-04-30
65,191,Repair,High,49851.62,43.18,2024-09-08
66,73,Calibration,Medium,22830.33,20.87,2023-01-11
67,119,Calibration,Critical,32041.82,9.22,2024-11-27
68,9,Repair,Low,36583.94,23.42,2023-10-08
69,71,Calibration,Medium,13399,35.94,2024-12-22
70,74,Inspection,Medium,26107.44,18.99,2023-04-15
71,179,Repair,High,44955.45,6.11,2024-07-10
72,139,Replacement,Critical,39030.57,41.72,2024-01-18
73,189,Inspection,Critical,79627.5,52.74,2023-12-14
74,105,Calibration,High,13301.71,16.88,2024-05-22
75,7,Repair,Medium,99278.22,10.48,2024-04-04
76,4,Calibration,High,12870.36,44,2023-11-25
77,100,Replacement,Low,39282.59,65.82,2024-02-04
78,117,Calibration,Critical,23339.8,52.09,2023-01-24
79,178,Replacement,Medium,84783.3,3.43,2024-12-10
80,39,Repair,Medium,88075.12,22.05,2024-06-29
81,107,Calibration,Critical,68417.45,66.48,2023-12-10
82,135,Calibration,Critical,26371.71,25.58,2024-02-15
83,112,Repair,High,10210.48,42.42,2024-06-27
84,70,Replacement,Critical,32889.35,13.73,2023-10-25
85,91,Repair,Low,87801.26,17.96,2024-12-25
86,183,Replacement,Low,83057.74,38.65,2024-09-01
87,40,Repair,High,12124.41,68.36,2023-09-13
88,183,Inspection,Low,63478.65,66.85,2024-06-22
89,37,Inspection,High,58054.91,53.24,2024-04-15
90,48,Inspection,High,13712.4,56.25,2023-10-19
91,74,Calibration,Critical,91326.47,14.71,2024-12-17
92,8,Calibration,Low,48938.95,26.84,2024-10-31
93,200,Replacement,Low,11289.45,18.08,2024-09-12
94,55,Inspection,High,99702.99,48.39,2024-04-02
95,143,Replacement,Low,91210.19,65.6,2023-02-02
96,53,Calibration,Critical,69718.92,5.16,2024-06-22
97,130,Inspection,High,10498.61,59.32,2024-12-30
98,108,Replacement,Medium,21340.49,71.9,2024-11-10
99,182,Inspection,High,94908.39,53.3,2024-03-29
100,59,Calibration,Critical,38405.6,17.01,2023-11-19
101,118,Replacement,Low,56914.82,26.43,2023-09-06
102,183,Replacement,Medium,47879.81,56.67,2024-01-27
103,102,Repair,Medium,23292.86,53.77,2024-07-25
104,105,Replacement,High,46005.55,42.06,2023-10-04
105,170,Inspection,High,35482.16,11.81,2024-02-20
106,84,Calibration,Medium,31303.58,41.61,2024-03-24
107,62,Repair,Medium,59649.67,56.68,2023-06-30
108,79,Replacement,High,16365.09,7.23,2024-06-12
109,111,Repair,Critical,80800.16,39.49,2023-07-22
110,151,Replacement,High,65376.84,35.62,2023-08-10
111,118,Inspection,High,44248.71,41.89,2024-06-28
112,134,Calibration,High,86665.92,52.03,2023-04-27
113,148,Calibration,Low,58036.14,24.34,2023-11-10
114,20,Calibration,Low,85155.04,23.71,2023-05-17
115,39,Replacement,Medium,18706.83,36.82,2024-09-02
116,54,Replacement,High,11029.57,16.13,2024-06-19
117,164,Repair,High,51801.25,62.85,2023-09-28
118,126,Calibration,High,45849.54,19.23,2023-01-15
119,158,Repair,Critical,81048.3,42.41,2023-07-16
120,147,Repair,High,26573.98,59.78,2024-04-14
121,61,Inspection,High,79443.52,53.44,2024-10-15
122,85,Inspection,Medium,23713.02,46.97,2024-06-16
123,71,Repair,Critical,67442.9,21.76,2024-10-18
124,41,Replacement,Critical,2149.24,9.68,2023-10-17
125,166,Calibration,High,20167.45,34.65,2023-02-12
126,92,Repair,Medium,53546.81,37.79,2023-08-01
127,25,Replacement,Low,61166.86,1.04,2024-02-22
128,111,Calibration,Medium,26939.58,51.41,2024-11-21
129,100,Replacement,High,16869.55,41.15,2024-10-12
130,162,Calibration,Medium,40479.85,63.9,2024-08-28
131,134,Repair,Low,60976.79,17.84,2023-09-24
132,108,Replacement,Low,26369.2,1.31,2024-10-06
133,16,Calibration,Low,57728.45,5.68,2024-02-27
134,177,Inspection,Low,91597.73,28.9,2023-11-26
135,182,Calibration,Critical,22882.57,65.64,2023-04-07
136,66,Inspection,Critical,91387.43,41.51,2024-08-08
137,62,Calibration,Low,23010.69,46.96,2023-03-22
138,159,Repair,Critical,72963.67,14.22,2024-06-18
139,18,Inspection,High,10220.34,4.87,2024-01-06
140,40,Replacement,Medium,3390.06,5.18,2023-06-16
141,111,Inspection,High,33531.23,13.41,2024-11-17
142,71,Replacement,High,9827.1,24.92,2023-01-30
143,111,Repair,Critical,39645.14,29.64,2024-01-21
144,17,Calibration,Medium,24790.89,48.65,2023-08-20
145,80,Calibration,Low,77759.99,54.64,2023-12-31
146,105,Inspection,Critical,39578.32,3.41,2024-02-07
147,14,Calibration,Medium,74403.43,54.78,2023-07-11
148,155,Inspection,Medium,60653.87,8.2,2023-09-23
149,29,Inspection,Medium,4014.44,6.13,2023-02-20
150,39,Calibration,High,46532.98,41.93,2024-11-17
151,185,Inspection,Critical,10779.19,23.62,2024-08-19
152,103,Inspection,Medium,84694.61,46.83,2023-11-02
153,92,Calibration,High,59389.73,58.2,2024-03-17
154,5,Inspection,Medium,2953.38,19.49,2024-11-06
155,154,Replacement,High,91372.15,68.15,2023-08-16
156,176,Replacement,Low,20565.43,70.52,2023-05-05
157,76,Replacement,Low,88836.09,21.99,2023-01-22
158,149,Repair,Low,87054.31,71.72,2024-10-31
159,59,Calibration,Critical,44391.51,38.29,2024-11-23
160,102,Repair,Low,82049.86,34.74,2023-05-07
161,200,Inspection,High,74423.76,24.58,2024-01-21
162,9,Calibration,High,12259.5,5.85,2024-06-14
163,171,Inspection,High,49921.36,70.87,2024-08-07
164,155,Replacement,Low,68845.02,20.13,2023-03-08
165,12,Repair,Low,37148.13,21.27,2023-08-08
166,68,Replacement,Medium,64708.11,17.74,2023-04-05
167,126,Calibration,Critical,23308.05,10.2,2024-03-19
168,23,Calibration,Low,12814.28,62.5,2023-08-27
169,54,Replacement,High,64661.2,7.65,2024-02-14
170,122,Calibration,Critical,22737.13,32.88,2024-12-30
171,92,Replacement,High,21154.5,67.81,2023-11-26
172,152,Repair,Medium,29244.12,43.36,2024-01-06
173,73,Repair,Critical,10243.21,19.09,2023-12-02
174,46,Calibration,Critical,98465.62,31.62,2023-12-06
175,194,Replacement,Low,57665.09,23.62,2024-11-19
176,172,Replacement,Medium,55155.54,37.65,2024-09-27
177,134,Calibration,Medium,73017.55,55.66,2023-03-27
178,157,Repair,Critical,51942.56,18.94,2023-04-08
179,200,Replacement,Medium,53974.87,7.25,2024-05-22
180,37,Inspection,High,79412.55,52.95,2024-07-05
181,182,Replacement,Low,79851.02,52.63,2023-04-01
182,148,Inspection,Medium,85546.48,63.46,2023-01-26
183,65,Calibration,Critical,6395.42,5.67,2024-03-13
184,34,Calibration,Low,9597.46,50.6,2024-09-11
185,124,Repair,Medium,75209.1,12.8,2023-09-06
186,109,Replacement,Medium,22735.2,62.14,2024-04-29
187,91,Inspection,Critical,94479.75,13.07,2024-07-23
188,140,Inspection,Low,3779.11,38.9,2024-08-22
189,54,Inspection,Critical,46945.1,68.15,2024-03-25
190,104,Replacement,Low,58074.52,5.1,2023-06-03
191,27,Calibration,Medium,3483.47,4.31,2024-03-23
192,29,Replacement,High,65280.7,20.53,2024-01-10
193,153,Repair,Critical,86846.49,29.6,2024-02-28
194,66,Repair,Medium,19881.21,40.52,2024-11-28
195,98,Replacement,High,39585.18,10.38,2023-09-05
196,162,Replacement,High,6387.15,43.98,2024-10-26
197,17,Calibration,Critical,33791.6,23.89,2024-04-29
198,100,Inspection,High,97048.93,66.81,2023-05-08
199,105,Repair,Critical,63080.04,44.76,2023-10-11
200,141,Calibration,Critical,76706.63,5.87,2024-12-15
201,195,Inspection,Medium,58989.04,40.46,2023-09-09
202,148,Inspection,Low,14623.28,66.76,2023-01-22
203,133,Replacement,High,49286.05,22.94,2023-07-11
204,141,Repair,Low,65306.13,51.88,2024-01-30
205,155,Inspection,High,17553.15,63.18,2023-09-07
206,186,Replacement,High,7832.41,9.61,2023-05-12
207,34,Calibration,Low,67239.23,13.09,2023-05-12
208,169,Calibration,Medium,71709.98,48.79,2024-03-24
209,192,Repair,Low,49960.61,46.44,2024-09-06
210,44,Calibration,Critical,93833.55,41.35,2023-01-05
211,124,Replacement,Low,5871.37,54,2023-10-09
212,45,Calibration,Medium,52902.94,19.06,2023-07-08
213,5,Calibration,Medium,72080.89,70.72,2024-06-11
214,131,Replacement,Medium,80636.16,39.66,2023-06-08
215,189,Inspection,Low,22795.53,12.37,2024-10-20
216,52,Repair,High,59431.9,55.47,2024-08-19
217,150,Calibration,High,46771.82,42.24,2024-10-05
218,139,Inspection,Medium,70692.31,43.55,2024-04-11
219,102,Replacement,High,80521.06,63.41,2023-04-01
220,6,Calibration,Low,40367.57,28.37,2024-06-18
221,159,Calibration,Medium,3845.45,67.01,2024-10-26
222,56,Inspection,Medium,59680.25,25.03,2023-07-16
223,59,Inspection,Low,35864.14,28.84,2024-09-15
224,69,Calibration,High,57679.57,42.6,2024-10-08
225,134,Repair,High,25361.74,38.78,2023-02-03
226,153,Repair,Critical,69935.99,3.76,2024-11-03
227,101,Repair,Low,61314.39,50.59,2023-03-24
228,9,Repair,Medium,13677.07,56.7,2024-07-07
229,129,Repair,Critical,42853.97,21.82,2024-10-21
230,15,Calibration,Low,9329.78,51.59,2023-02-14
231,113,Replacement,Low,11807.33,4.84,2023-08-12
232,49,Inspection,Low,51367.46,34.06,2023-09-11
233,79,Repair,Low,75461.3,44.95,2024-05-31
234,89,Repair,Critical,83507.67,13.22,2024-10-07
235,154,Calibration,Low,97398.16,46.3,2024-01-22
236,77,Replacement,Critical,59662.68,36.59,2024-12-04
237,81,Inspection,High,53970.73,34.06,2023-11-06
238,175,Inspection,Critical,14287.89,30.05,2023-01-31
239,170,Inspection,Critical,33367.19,26.9,2024-02-17
240,6,Inspection,Critical,72225.91,63.43,2023-07-13
241,15,Calibration,Critical,99501.64,65.3,2023-06-06
242,45,Replacement,Low,80737.73,4.09,2024-10-08
243,49,Calibration,Medium,23511.36,19.59,2024-02-18
244,43,Repair,Critical,14623.13,39.47,2024-01-22
245,116,Replacement,Critical,77666.93,58.57,2024-05-16
246,4,Repair,High,30950.16,16.63,2024-05-28
247,191,Inspection,High,43820.34,5.17,2024-08-13
248,71,Replacement,Critical,9376.63,23.69,2024-06-09
249,20,Replacement,Critical,36584.18,68.14,2024-04-12
250,80,Calibration,Medium,42651.44,10.06,2024-10-05
251,11,Repair,High,66458.73,38.33,2023-02-19
252,180,Repair,Low,40916.87,48.62,2024-03-01
253,15,Inspection,Low,50455.57,67.58,2023-06-05
254,56,Replacement,Critical,82605.08,53.46,2023-04-24
255,151,Replacement,Critical,9715.3,51.21,2023-11-14
256,13,Inspection,Low,45801.56,54.93,2024-09-11
257,2,Inspection,Critical,79450.65,33.01,2023-04-09
258,196,Inspection,High,1582.33,22.25,2024-10-04
259,66,Calibration,Low,70292.4,33.86,2024-02-23
260,109,Replacement,Critical,86051.32,44.76,2023-09-15
261,50,Calibration,Medium,94629.42,18.56,2023-07-04
262,185,Inspection,Critical,16380.56,19.04,2023-09-07
263,138,Inspection,High,90278.18,33.76,2024-03-08
264,115,Repair,Critical,57354.28,15.28,2024-03-26
265,83,Inspection,High,58816.11,49.03,2023-07-09
266,1,Calibration,Critical,14226.77,32.93,2024-05-02
267,174,Replacement,Critical,53276.21,66.99,2023-11-11
268,55,Replacement,High,53992.12,12.52,2023-04-26
269,160,Inspection,Critical,58353.77,49.01,2023-12-28
270,66,Repair,Low,40879.51,58.52,2024-11-05
271,20,Inspection,Low,28505.03,31.74,2024-03-14
272,127,Inspection,High,28077.41,49.32,2024-01-10
273,95,Inspection,Critical,30044.42,7.63,2023-02-07
274,120,Inspection,Critical,54711.21,13.12,2024-01-12
275,181,Calibration,Medium,70614.35,24.87,2023-01-27
276,6,Calibration,Critical,65527.34,67.36,2024-03-08
277,99,Repair,Low,16786.87,41.46,2024-03-26
278,174,Repair,High,39780.58,13.84,2024-03-25
279,112,Inspection,Low,30422.09,71.28,2024-03-21
280,14,Inspection,Low,53718.52,27.98,2023-05-12
281,35,Repair,Medium,42132.11,64.21,2023-02-27
282,193,Calibration,Critical,40113.47,47.83,2023-03-03
283,55,Calibration,Medium,39522.44,67.34,2024-09-13
284,175,Calibration,Critical,97992.03,25.13,2023-09-30
285,40,Repair,Critical,24898.82,21.24,2024-04-12
286,173,Inspection,Low,80219.5,24.86,2023-02-09
287,175,Repair,Low,33136.9,15.15,2024-06-08
288,32,Inspection,Critical,55219.09,14.15,2023-02-26
289,90,Calibration,High,6389.51,35.24,2024-01-18
290,188,Repair,High,88494.3,62.31,2023-09-12
291,57,Calibration,Low,89161.53,10.57,2024-08-27
292,176,Replacement,High,3217.13,66.86,2024-11-05
293,193,Calibration,High,73637.55,9.15,2024-05-11
294,144,Calibration,Critical,68111.99,35.51,2024-06-21
295,128,Inspection,Medium,51950.22,60.87,2024-04-30
296,83,Repair,Critical,6320.36,18.29,2023-07-09
297,129,Replacement,Medium,87532.91,28.06,2024-02-12
298,140,Calibration,Critical,80539.06,11.17,2023-02-08
299,106,Replacement,High,14899.27,47.08,2023-11-14
300,78,Replacement,Medium,71019.59,34.46,2023-08-30
301,74,Calibration,High,10097.43,64.12,2023-09-12
302,20,Inspection,Medium,51247.66,35.95,2023-07-06
303,1,Inspection,Medium,69026.28,46.01,2024-06-02
304,123,Inspection,High,47053.96,63.39,2023-06-09
305,70,Inspection,Medium,58394.07,11.86,2024-10-21
306,193,Inspection,Critical,92252.36,49.32,2024-09-17
307,112,Inspection,Medium,99793.74,68.28,2023-06-21
308,53,Replacement,Critical,37209.36,61.96,2023-03-03
309,123,Calibration,Medium,23961.82,59.17,2024-05-06
310,141,Inspection,Medium,42784.33,40.19,2024-01-14
311,57,Repair,Medium,39945.86,1.29,2023-05-27
312,142,Calibration,Medium,16641.19,23.07,2024-12-28
313,7,Inspection,Low,51510.43,36.67,2023-02-09
314,56,Repair,Medium,42242.09,57.56,2024-04-30
315,133,Repair,High,9742.9,38,2024-05-17
316,38,Inspection,High,53023.31,18.31,2024-10-31
317,189,Repair,Critical,51421.33,16.16,2024-02-02
318,133,Inspection,High,52022.72,34.37,2024-03-24
319,179,Replacement,Medium,57027.38,59.37,2024-09-13
320,152,Inspection,Critical,52931.97,46.74,2024-10-09
321,56,Replacement,Medium,40116.5,20.94,2023-02-07
322,97,Repair,Low,24332.9,44.32,2023-09-13
323,166,Replacement,High,58688.08,9.62,2024-04-26
324,79,Repair,Low,75915.32,49.56,2024-12-22
325,116,Calibration,Low,59606.58,34.4,2023-06-16
326,162,Repair,High,22588.47,27.13,2024-11-22
327,43,Calibration,Critical,34059.34,33.07,2024-11-26
328,186,Inspection,Critical,6078.98,21.4,2023-10-09
329,83,Calibration,Critical,85173.37,22.06,2023-11-15
330,30,Calibration,Medium,17365.06,47.57,2024-11-10
331,121,Replacement,Low,45836.63,41.57,2024-11-09
332,9,Inspection,Critical,55713.16,70.45,2023-10-28
333,65,Repair,Medium,54458.66,69.15,2023-04-07
334,32,Inspection,Critical,47839.23,35.08,2023-12-13
335,132,Calibration,Medium,51601.33,36.56,2024-07-08
336,175,Replacement,Low,84083.97,39.19,2024-08-19
337,123,Repair,High,80848.47,18.94,2024-04-30
338,181,Replacement,Medium,27890.8,10.93,2024-11-25
339,86,Replacement,Critical,37099.42,2.17,2023-07-01
340,8,Inspection,Low,45784.29,38.77,2024-12-14
341,142,Replacement,High,80342.47,34.11,2024-04-10
342,195,Calibration,Medium,80150.8,3.08,2023-12-25
343,159,Replacement,Low,65047.24,29.51,2024-02-06
344,135,Calibration,Critical,33617.96,51.33,2023-01-21
345,198,Repair,Medium,94953.4,12.78,2024-08-29
346,135,Calibration,High,36393.07,6.37,2024-01-05
347,13,Repair,Low,35208.13,46.87,2024-01-15
348,139,Inspection,Medium,19228.22,57.75,2024-08-31
349,32,Calibration,Critical,43427.16,31.3,2024-10-05
350,102,Calibration,Medium,11900.61,16.23,2024-10-29
351,194,Calibration,Critical,3856.63,1.38,2024-09-29
352,118,Replacement,Medium,61889.49,44.46,2023-06-23
353,100,Repair,High,6189.66,64.92,2024-11-06
354,45,Inspection,Critical,59510.46,70.77,2024-11-01
355,117,Inspection,High,20648.87,68.8,2023-01-14
356,36,Inspection,Low,53575.11,28.4,2024-01-03
357,15,Repair,Medium,80700.37,46.85,2024-04-16
358,115,Calibration,Low,37993.71,32.62,2023-08-28
359,105,Repair,Medium,68830.35,44.47,2024-01-17
360,161,Replacement,Critical,50482.9,62.66,2023-03-17
361,161,Repair,Medium,87740.22,31.73,2023-02-25
362,8,Repair,Critical,35082.69,69.25,2024-02-05
363,137,Replacement,High,14457.57,42.38,2023-01-08
364,181,Inspection,Low,64339.72,3.77,2024-07-16
365,146,Calibration,Low,95676.84,70.71,2024-11-27
366,180,Replacement,Critical,19481.1,21.05,2024-08-22
367,93,Repair,Critical,22836.97,6.4,2023-04-11
368,169,Calibration,High,35647.53,7.35,2024-07-12
369,54,Repair,High,60503.4,1.39,2023-10-23
370,74,Inspection,Low,87706.98,62.19,2023-07-07
371,53,Replacement,Medium,20465.76,11.4,2023-01-07
372,127,Calibration,Medium,88174.91,23.45,2023-05-15
373,130,Inspection,Critical,12905.93,28.97,2024-11-06
374,121,Replacement,Low,71065.02,38.09,2024-06-03
375,162,Calibration,High,72331.56,24.23,2023-06-06
376,37,Inspection,High,44837.1,26.47,2024-10-07
377,43,Inspection,Critical,61252.77,62.43,2024-08-09
378,92,Repair,High,75644.83,45.21,2023-07-15
379,108,Replacement,High,35265.92,29.06,2024-09-05
380,17,Replacement,High,1271.67,68.28,2024-11-22
381,88,Repair,Medium,50333.68,57.83,2024-08-02
382,129,Inspection,High,79906.81,52.63,2024-12-14
383,117,Replacement,High,46978.92,42.42,2024-04-20
384,115,Replacement,Low,57387.15,15.8,2024-07-05
385,6,Calibration,Medium,63954.94,22.77,2024-09-16
386,94,Replacement,High,53774.15,53.01,2024-10-25
387,125,Calibration,Critical,1923.91,71.82,2024-03-06
388,93,Inspection,Critical,49510.89,68.13,2024-02-04
389,184,Replacement,High,49342.18,17.26,2024-12-03
390,111,Calibration,Critical,44789.17,49.44,2024-01-13
391,15,Calibration,Critical,77806.38,11.61,2024-01-29
392,82,Repair,Low,48980.42,69.96,2023-11-16
393,185,Replacement,Critical,61062.41,24.16,2024-05-22
394,148,Replacement,Low,38719.06,3.76,2023-05-19
395,61,Repair,Critical,40139.22,31.57,2024-07-12
396,113,Replacement,High,2707.8,26.69,2023-03-31
397,59,Calibration,High,14173.14,35.67,2023-01-28
398,171,Inspection,Critical,33008.93,48.09,2023-02-17
399,55,Replacement,Low,55247.98,16.34,2023-06-29
400,22,Repair,Medium,59619.28,23.44,2024-02-04
401,137,Repair,High,22852.66,49.68,2024-05-27
402,135,Calibration,Critical,21583.92,30.75,2023-03-27
403,79,Replacement,Critical,49579.35,24.42,2024-11-28
404,19,Replacement,High,6703,54.04,2023-12-09
405,24,Calibration,Low,43580.23,10.62,2024-06-23
406,121,Repair,Critical,8991.9,5.8,2023-08-10
407,140,Replacement,Critical,77451.45,34.97,2024-01-09
408,111,Inspection,Low,22057.82,70.57,2024-03-10
409,120,Inspection,Low,26577.89,64.01,2024-08-02
410,163,Repair,Medium,47428.13,55.29,2024-12-17
411,23,Repair,Low,20489.12,44.11,2024-02-28
412,46,Repair,Low,67919.79,55,2024-08-08
413,102,Repair,Low,24815.66,37.31,2023-06-10
414,166,Inspection,Medium,46024.58,33.27,2023-11-13
415,151,Repair,Critical,44694.5,27.14,2023-02-05
416,5,Replacement,High,64458.19,34.1,2024-06-16
417,151,Replacement,High,31681.34,57.19,2023-09-29
418,62,Calibration,High,37402.06,16.1,2024-11-19
419,107,Repair,High,4970.89,39.52,2024-05-29
420,125,Inspection,Low,31823.02,54.09,2024-09-27
421,70,Repair,Low,35728.43,66.06,2023-10-07
422,199,Inspection,Critical,61794.67,33.47,2023-09-05
423,101,Repair,High,60345.41,28.88,2023-08-04
424,160,Replacement,Critical,82179.65,38.6,2023-11-28
425,149,Calibration,High,28098.99,39.18,2024-01-12
426,132,Repair,Critical,77927.44,23.47,2023-08-04
427,124,Replacement,Critical,91719.37,54.75,2023-10-02
428,139,Repair,Critical,80041.04,10.54,2023-05-09
429,146,Replacement,Critical,88180.61,68.46,2024-05-02
430,162,Repair,Low,27448.17,28.15,2023-06-09
431,139,Calibration,High,80451.93,42.5,2023-02-08
432,170,Inspection,Medium,31195.74,37.84,2023-07-27
433,20,Inspection,Low,87916.45,60.66,2023-04-25
434,94,Repair,High,26765.71,59.99,2023-03-01
435,37,Calibration,Low,50977.08,33.14,2023-06-15
436,26,Inspection,Low,40930.44,25.21,2023-04-02
437,91,Calibration,Low,9175.49,56.09,2024-08-25
438,52,Calibration,Medium,44775.63,35.67,2023-11-17
439,144,Inspection,Medium,1432.01,57.77,2024-06-25
440,11,Inspection,Medium,51904.99,59.9,2023-06-05
441,111,Repair,Medium,6185.96,30.04,2023-03-31
442,76,Repair,High,71375.08,29.38,2023-03-16
443,36,Calibration,High,71505.27,37.84,2023-07-12
444,130,Inspection,Critical,85130.86,56.72,2024-06-26
445,125,Calibration,Critical,47003.53,69.7,2023-07-11
446,103,Inspection,Medium,31349.53,37.09,2024-05-14
447,26,Inspection,High,17883.5,69.77,2024-11-04
448,87,Repair,Critical,51321.84,24.69,2024-01-16
449,188,Replacement,Critical,56358.73,4.62,2024-11-04
450,31,Calibration,Medium,95704.16,53.03,2023-01-02
451,157,Calibration,High,2653.85,53.91,2024-08-11
452,42,Replacement,Medium,95473.71,59.14,2024-05-30
453,129,Inspection,Critical,95595.45,12.75,2023-10-28
454,180,Calibration,High,40640.94,33.43,2023-12-19
455,165,Replacement,High,47210.32,17.26,2023-10-02
456,61,Calibration,Critical,67053.01,16.4,2024-09-13
457,86,Replacement,Medium,96292.1,17.24,2023-04-13
458,14,Calibration,Critical,46857.04,58.85,2023-11-11
459,100,Inspection,Low,18929.32,23.85,2023-03-22
460,65,Repair,High,95937.46,4.86,2023-11-28
461,143,Inspection,High,38461.89,17,2024-12-11
462,32,Repair,Critical,20731.77,53.04,2024-01-09
463,17,Inspection,Critical,59658.4,26.71,2024-10-17
464,98,Inspection,Medium,1705.63,56.02,2024-12-05
465,147,Replacement,Medium,16125,44.44,2024-08-18
466,50,Calibration,Low,28954.02,5.58,2023-08-19
467,137,Repair,High,79494.94,57.62,2024-06-29
468,59,Replacement,Medium,3580.54,4.44,2024-06-02
469,79,Repair,Medium,41982.16,40.74,2023-05-28
470,78,Inspection,Low,99510.99,15.77,2024-09-23
471,94,Calibration,High,90856.95,68.52,2024-03-15
472,84,Inspection,Critical,36871.16,34.14,2023-03-23
473,186,Replacement,Medium,10841.38,23.91,2024-10-11
474,71,Inspection,Medium,70145.05,60.66,2023-02-18
475,119,Inspection,Low,47372.7,13.19,2023-03-30
476,36,Replacement,Low,36616.09,12.12,2024-10-22
477,9,Replacement,Low,54005.19,43.28,2023-02-24
478,158,Inspection,Critical,44593.33,9.92,2023-06-19
479,70,Replacement,Critical,31727.24,48.85,2023-05-18
480,48,Replacement,Critical,81843.26,71.99,2024-09-17
481,132,Replacement,Critical,30512.84,41.08,2023-03-11
482,169,Replacement,Medium,7796.83,16.6,2024-02-17
483,157,Inspection,Low,96829.43,15.48,2023-07-10
484,84,Inspection,Medium,86733.33,44.15,2024-05-25
485,21,Repair,Medium,39951.67,59.33,2023-10-27
486,70,Calibration,Low,59501.41,16.23,2024-09-02
487,177,Calibration,Low,80751.35,8.64,2024-12-12
488,20,Calibration,Critical,2704.17,19.32,2024-05-04
489,56,Inspection,Critical,30007.22,2.4,2024-01-17
490,7,Calibration,Medium,84889.36,7.07,2024-09-13
491,179,Inspection,Medium,10836.38,47.93,2024-03-01
492,111,Inspection,High,5744.82,39.88,2024-09-14
493,75,Repair,Medium,47655.39,2.36,2024-02-06
494,86,Replacement,High,24004.48,31.68,2024-08-11
495,139,Replacement,Medium,56823.78,16.16,2024-10-20
496,67,Calibration,Critical,85239.35,15.26,2024-07-26
