failure_id,plant_id,failure_type,outage_hours,financial_loss_usd,failure_date
148,139,Grid Instability,41.47,361428.19,2024-11-10
149,12,Grid Instability,41.8,210899.53,2024-08-17
150,37,Grid Instability,7.76,275949.51,2023-01-15
151,147,Overheating,17.96,456690.21,2024-04-17
152,17,Overheating,27.16,258365.91,2024-03-28
153,167,Overheating,34.41,99680.25,2024-08-12
154,30,Transformer Failure,5.22,488629.35,2024-05-10
155,38,Voltage Drop,38.12,375223.94,2024-09-09
156,80,Grid Instability,46.91,19061.63,2024-10-03
157,30,Overheating,38.98,157314.63,2024-01-12
158,84,Voltage Drop,29.85,327861.43,2024-06-13
159,144,Voltage Drop,14.56,378369.1,2023-04-19
160,68,Overheating,37.84,466073.89,2024-05-26
161,199,Overheating,8.18,58798.69,2024-09-30
162,136,Transformer Failure,24.28,437478.86,2024-01-07
163,183,Overheating,13.09,482651.54,2023-11-13
164,56,Grid Instability,37.39,295979.41,2023-05-01
165,198,Voltage Drop,15.58,139056.99,2024-09-16
166,95,Overheating,25.2,102937.11,2023-06-26
167,53,Overheating,37.05,479332.06,2023-07-25
168,36,Overheating,22.51,375655.42,2023-09-09
169,199,Grid Instability,24.53,484485.33,2023-02-05
170,1,Transformer Failure,15.95,239998.54,2023-10-07
171,53,Voltage Drop,29.89,292146.75,2023-02-21
172,12,Grid Instability,36.35,22621.03,2024-12-15
173,161,Voltage Drop,46.28,403088.3,2023-10-08
174,33,Transformer Failure,4.64,203654.57,2024-09-03
175,68,Transformer Failure,15.69,66979.05,2023-02-01
176,4,Grid Instability,18.91,451620.63,2023-09-27
177,7,Grid Instability,16.91,495682.83,2023-11-27
178,120,Transformer Failure,12.99,97830.24,2023-02-20
179,148,Transformer Failure,34.18,42956.84,2023-09-09
180,125,Overheating,3.06,128292.95,2024-02-18
181,15,Grid Instability,8.88,426833.03,2024-02-17
182,81,Grid Instability,22.03,181860.5,2023-01-26
183,172,Grid Instability,18.22,342279.3,2023-10-04
184,143,Transformer Failure,27.91,380675.93,2023-12-01
185,43,Grid Instability,41.58,455721.14,2024-02-26
186,55,Voltage Drop,9.75,266126.19,2024-09-13
187,129,Transformer Failure,40.94,164741.15,2023-06-14
188,24,Voltage Drop,9.86,445189.43,2023-10-18
189,175,Transformer Failure,45.74,320767.1,2023-12-03
190,75,Transformer Failure,13.49,233736.27,2024-03-11
191,109,Transformer Failure,46.98,405966.54,2023-09-18
192,117,Voltage Drop,31.69,422016.04,2023-10-10
193,89,Overheating,36.21,83056.29,2023-05-16
194,70,Voltage Drop,37.74,307670.87,2023-10-03
195,81,Transformer Failure,17.99,48509.32,2023-09-29
196,147,Transformer Failure,47.46,389449.15,2023-05-13
197,43,Grid Instability,40.83,27853.28,2024-10-31
198,155,Transformer Failure,40.54,438387.9,2024-04-05
199,106,Voltage Drop,42.25,57954.1,2024-01-27
200,97,Transformer Failure,2.12,207200.55,2024-06-09
201,97,Transformer Failure,46.79,482106.52,2023-08-02
202,111,Grid Instability,45.86,259811.82,2023-05-30
203,146,Voltage Drop,7.51,34692.3,2023-07-02
204,87,Voltage Drop,28.09,353419.76,2024-05-23
205,200,Overheating,3.77,109497.51,2024-12-18
206,4,Overheating,35.55,20411.26,2024-01-22
207,30,Overheating,9.04,179392.35,2023-08-14
208,179,Transformer Failure,18.74,488862.36,2023-10-12
209,116,Transformer Failure,33.05,418014.36,2024-04-30
210,95,Grid Instability,45.66,221327.39,2024-05-26
211,48,Overheating,12.71,57419.98,2023-10-19
212,73,Overheating,19.34,164024.44,2023-02-10
213,168,Overheating,37.05,329958.29,2023-06-25
214,56,Transformer Failure,42.45,26619.68,2024-02-24
215,40,Overheating,21.36,118305.56,2024-02-29
216,31,Grid Instability,44.71,442864.5,2024-02-13
217,132,Grid Instability,1.67,143720.85,2024-06-21
218,35,Overheating,32.73,418725.84,2023-05-08
219,188,Grid Instability,23.58,314045.12,2023-05-20
220,33,Grid Instability,10.24,39163.28,2023-09-10
221,190,Grid Instability,24.93,468547.46,2024-02-19
222,114,Overheating,29.5,388606.28,2023-12-20
223,169,Grid Instability,5.96,431759.58,2024-05-26
224,143,Transformer Failure,35.05,126293.91,2023-01-10
225,84,Overheating,43.46,491801,2023-07-10
226,78,Voltage Drop,5.79,113632,2024-01-31
227,160,Transformer Failure,24.2,191426.89,2023-09-23
228,133,Grid Instability,35.8,400798.17,2024-11-22
229,50,Overheating,43.14,320599.64,2024-09-07
230,62,Grid Instability,22.25,157037.74,2023-07-22
231,69,Overheating,47.59,383284.57,2024-03-15
232,26,Voltage Drop,12.22,472845.34,2024-05-30
233,60,Grid Instability,4.48,326405.6,2024-11-15
234,186,Overheating,45.29,241344.9,2023-07-14
235,27,Grid Instability,25.27,64587.03,2023-03-11
236,185,Overheating,7.93,263435.92,2023-11-06
237,22,Overheating,23.9,461431.91,2024-10-04
238,21,Transformer Failure,8.03,347542.28,2023-04-08
239,152,Grid Instability,10.19,360065.28,2024-01-31
240,187,Grid Instability,44.32,263313.51,2023-05-11
241,64,Grid Instability,47.11,424717.41,2024-01-11
242,160,Grid Instability,19.25,325160.49,2023-09-20
243,61,Voltage Drop,37.99,449344.94,2024-01-31
244,149,Grid Instability,22.85,352926.57,2023-08-11
245,192,Voltage Drop,35.66,145711.61,2023-06-27
246,86,Grid Instability,22.7,16509.62,2024-01-15
247,143,Voltage Drop,32.84,346294.95,2023-08-07
248,70,Transformer Failure,37.62,213862.53,2023-10-19
249,98,Transformer Failure,21.45,386820.95,2023-03-04
250,172,Overheating,22.12,127511.98,2023-12-30
251,53,Voltage Drop,9.68,375152.3,2024-08-21
252,73,Transformer Failure,42.59,271230.39,2024-03-08
253,14,Voltage Drop,36.12,142941.12,2024-12-26
254,131,Overheating,23.03,376038.09,2023-03-12
255,150,Transformer Failure,9.54,201651.44,2024-06-19
256,175,Voltage Drop,44.97,72038.37,2023-02-21
257,9,Transformer Failure,29.85,310625.92,2023-02-19
258,146,Voltage Drop,37.14,62024.5,2024-11-27
259,181,Transformer Failure,5.24,219201.09,2023-06-15
260,190,Voltage Drop,26.01,309063.21,2024-04-16
261,43,Transformer Failure,38.99,383359.41,2023-12-04
262,159,Transformer Failure,47.45,473422.99,2023-07-03
263,17,Grid Instability,41.51,50398.32,2024-04-13
264,39,Overheating,38.38,260732.03,2024-11-24
265,146,Transformer Failure,47.5,309421.63,2024-03-14
266,10,Grid Instability,7.12,4717.32,2024-05-15
267,35,Voltage Drop,22.63,392734.82,2024-11-16
268,29,Voltage Drop,44.03,150349.2,2023-03-01
269,102,Grid Instability,10.09,152059.56,2024-09-30
270,189,Overheating,21.33,361108.95,2023-04-28
271,167,Voltage Drop,36.53,394168.11,2023-11-02
272,121,Overheating,25.93,357027.38,2023-12-27
273,147,Voltage Drop,7.87,67254.1,2024-06-14
274,117,Transformer Failure,34.37,252879.04,2023-03-14
275,124,Grid Instability,29.57,79083.44,2024-10-17
276,2,Voltage Drop,37.31,89102.05,2023-04-01
277,97,Grid Instability,45.49,284904.91,2023-05-16
278,158,Transformer Failure,22.44,211612.16,2023-10-08
279,121,Transformer Failure,13.89,27698.69,2023-04-26
280,194,Overheating,43.42,162367.51,2023-05-01
281,156,Overheating,34.83,458985.64,2024-10-22
282,52,Transformer Failure,29.05,296043.9,2023-10-01
283,173,Voltage Drop,18.81,11572.12,2024-01-15
284,31,Transformer Failure,2.63,260866.36,2023-09-15
285,143,Overheating,31.49,79367.17,2023-10-22
286,113,Overheating,8.23,417771.2,2023-10-26
287,2,Grid Instability,7.69,215834.48,2024-03-01
288,65,Grid Instability,14.68,189810.91,2024-06-11
289,100,Transformer Failure,23.58,171704.45,2024-08-18
290,74,Voltage Drop,13.14,264444.53,2024-03-11
291,40,Overheating,20.11,237529.57,2023-07-15
292,83,Transformer Failure,46.83,131305.58,2024-10-17
293,39,Transformer Failure,6.9,204120.25,2024-12-30
294,182,Overheating,45.59,460573.63,2023-01-24
295,133,Transformer Failure,9.03,309051.06,2023-06-23
296,174,Overheating,6.48,243588.12,2023-02-28
297,156,Overheating,35.61,221893.98,2024-05-18
298,165,Overheating,47.82,154589.71,2023-12-11
299,131,Transformer Failure,4.18,318287.41,2023-11-07
300,129,Transformer Failure,20.01,377611.45,2023-07-04
301,3,Voltage Drop,33.11,137850.77,2023-05-28
302,177,Grid Instability,43.04,416894.76,2024-11-07
303,17,Grid Instability,46.96,121317.89,2023-02-05
304,127,Voltage Drop,27.32,261161.45,2023-10-30
305,83,Transformer Failure,3.65,166171.24,2024-08-07
306,27,Overheating,5.36,176584.19,2023-03-03
307,182,Grid Instability,39.52,64864.44,2023-04-22
308,131,Voltage Drop,2.36,468110.84,2024-07-29
309,99,Grid Instability,47.6,201451.42,2023-11-27
310,84,Voltage Drop,17.32,432097.36,2024-02-07
311,197,Grid Instability,21.71,443415.68,2024-04-12
312,151,Transformer Failure,42.36,434725.78,2024-09-15
313,58,Transformer Failure,2,108649.97,2024-09-18
314,117,Voltage Drop,9.83,318934.56,2024-10-10
315,42,Grid Instability,22.84,375429.09,2023-11-03
316,172,Grid Instability,34.35,86428.4,2023-09-13
317,47,Grid Instability,29.97,405712.02,2024-08-28
318,110,Grid Instability,19.93,61976.85,2024-11-04
319,188,Grid Instability,37.1,287850.28,2024-11-02
320,153,Voltage Drop,10.76,449005.11,2023-02-16
321,133,Transformer Failure,26.34,349327.48,2024-04-12
322,41,Transformer Failure,16.59,162887.8,2023-07-08
323,107,Transformer Failure,27.2,436546.93,2024-10-11
324,7,Transformer Failure,33.79,437798.43,2023-11-18
325,147,Voltage Drop,39.08,415014.1,2023-05-19
326,26,Grid Instability,26.26,220841.64,2023-02-05
327,41,Overheating,4.36,138206.77,2023-03-16
328,54,Grid Instability,15.1,283795.51,2023-11-06
329,104,Overheating,21.59,60820.58,2023-06-27
330,8,Overheating,36.18,173567.42,2023-03-21
331,116,Transformer Failure,8.37,423670.84,2024-04-24
332,181,Grid Instability,38.62,218118.39,2023-01-06
333,47,Grid Instability,41.2,208691.04,2023-07-28
334,127,Voltage Drop,37.39,435415.93,2023-03-21
335,107,Grid Instability,46.37,38885.36,2024-12-03
336,19,Voltage Drop,32.03,263016.1,2023-08-24
337,153,Voltage Drop,20.52,407918.52,2023-11-22
338,132,Overheating,6.73,56098.06,2024-02-24
339,10,Transformer Failure,9,282528.16,2024-01-20
340,166,Grid Instability,18.92,481387.22,2024-07-27
341,103,Voltage Drop,28.21,334379.65,2024-04-21
342,161,Transformer Failure,41.39,159535.88,2023-05-06
343,103,Transformer Failure,35.28,122626.48,2024-10-25
344,150,Grid Instability,35.62,399923.6,2024-01-15
345,127,Transformer Failure,27.5,23057.78,2024-06-07
346,154,Voltage Drop,14.66,437838.49,2023-08-23
347,66,Grid Instability,46.63,190906.68,2024-05-02
348,29,Voltage Drop,46.89,342497.35,2023-03-02
349,77,Overheating,22.48,176681.72,2023-11-24
350,33,Overheating,10.57,200057.02,2024-10-21
351,48,Transformer Failure,16.4,492079.06,2024-11-12
352,101,Overheating,31.61,475691.58,2024-05-10
353,93,Overheating,28.43,201789.24,2024-04-18
354,46,Voltage Drop,11.03,310972.92,2023-06-28
355,115,Transformer Failure,5.06,417566.09,2023-06-20
356,148,Voltage Drop,13.41,455143.72,2024-12-14
357,126,Overheating,20.15,267078.6,2024-12-13
358,60,Grid Instability,37.93,217681.17,2024-08-16
359,117,Transformer Failure,17.08,473856.09,2023-04-13
360,177,Voltage Drop,17.95,256269.97,2024-12-10
361,184,Grid Instability,29.15,84705.38,2023-07-09
362,18,Grid Instability,42.86,255919.94,2024-05-25
363,165,Voltage Drop,42.17,154325.47,2023-08-18
364,52,Grid Instability,42.18,496502.87,2023-03-17
365,168,Overheating,38.56,332628.15,2024-07-06
366,138,Grid Instability,15.94,443824.46,2024-02-15
367,30,Overheating,17.99,1910.73,2024-03-25
368,148,Transformer Failure,39.49,15983.54,2023-03-08
369,32,Transformer Failure,3.82,32565.8,2024-09-14
370,114,Overheating,36.63,486101.41,2023-11-16
371,40,Grid Instability,17.23,159480.42,2023-07-07
372,150,Voltage Drop,31.13,147958.12,2023-05-22
373,30,Overheating,19.81,492130.48,2023-06-17
374,138,Transformer Failure,36.46,393900.68,2023-10-13
375,104,Transformer Failure,38.35,86051.24,2023-01-01
376,126,Grid Instability,24.33,295070.42,2023-07-05
377,182,Voltage Drop,33.77,428529.94,2023-12-17
378,90,Grid Instability,13.28,120291.38,2024-08-09
379,41,Grid Instability,47.91,25520.18,2023-08-27
380,80,Overheating,17.51,123878,2024-09-22
381,99,Overheating,17.26,163426.1,2024-07-05
382,70,Voltage Drop,42,147772.57,2023-10-02
383,95,Transformer Failure,20.85,3041.73,2023-01-08
384,47,Grid Instability,9.27,108812.54,2024-05-28
385,16,Voltage Drop,27.33,197996.38,2023-01-24
386,124,Transformer Failure,2.56,377862.91,2023-06-23
387,14,Transformer Failure,31.56,402223.33,2024-09-28
388,57,Grid Instability,33.18,16582.27,2024-02-13
389,136,Voltage Drop,27.06,151000.86,2023-09-18
390,8,Transformer Failure,24.82,129294.49,2023-11-18
391,28,Voltage Drop,35.56,366725.03,2024-04-06
392,108,Transformer Failure,45.76,369887.63,2024-05-03
393,20,Overheating,23.58,243277.97,2024-04-03
394,3,Grid Instability,12.77,195601.52,2023-11-15
395,192,Overheating,18.62,226994.69,2024-06-29
396,130,Transformer Failure,47.64,19805.49,2024-03-12
397,186,Transformer Failure,12.05,420032.89,2024-08-22
398,177,Grid Instability,41.19,121024.79,2024-12-08
399,59,Transformer Failure,19.33,219928.63,2024-06-25
400,37,Transformer Failure,32.45,152100.11,2024-07-20
401,7,Overheating,46.89,52375.08,2023-05-22
402,136,Voltage Drop,6.27,53336.54,2023-03-05
403,152,Grid Instability,17.13,271760.87,2023-04-10
404,137,Voltage Drop,47.97,61790.19,2023-11-10
405,145,Grid Instability,25.5,77985.31,2024-01-13
406,56,Grid Instability,11.2,175395.67,2023-11-27
407,180,Voltage Drop,15.45,383445.33,2024-10-19
408,44,Grid Instability,7.57,200648.7,2023-08-28
409,155,Voltage Drop,19.06,413516.63,2023-06-30
410,121,Transformer Failure,22.52,403255.49,2024-05-02
411,165,Grid Instability,9.39,107853.59,2023-08-18
412,186,Transformer Failure,31.29,279721.05,2024-11-02
413,10,Transformer Failure,8.43,200732.35,2024-07-16
414,165,Overheating,45.58,72175.39,2023-01-01
415,147,Transformer Failure,37.72,334967.4,2024-09-20
416,102,Transformer Failure,36.88,264355.41,2024-06-03
417,124,Grid Instability,9.2,196425.98,2023-10-24
418,118,Grid Instability,37.34,154492.77,2023-02-16
419,13,Transformer Failure,2.21,382842.84,2024-06-01
420,193,Voltage Drop,44.37,329593.91,2023-01-09
421,111,Voltage Drop,25.89,73257.76,2023-05-22
422,19,Grid Instability,33.89,159124.96,2024-08-30
423,41,Transformer Failure,30.49,492596.23,2024-04-01
424,153,Overheating,39.15,216123.09,2024-07-14
425,114,Grid Instability,40.44,132782.8,2024-09-13
426,193,Overheating,2.94,440128.78,2023-03-17
427,2,Grid Instability,31.77,16001.75,2024-05-02
428,108,Transformer Failure,42.53,16897.88,2023-05-16
429,131,Voltage Drop,37.45,93407.76,2023-04-17
430,131,Grid Instability,15.99,8078.76,2023-11-15
431,138,Grid Instability,11.63,181291.34,2024-04-26
432,188,Voltage Drop,17.31,6346.33,2023-07-08
433,126,Overheating,18.82,424025.35,2024-01-03
434,89,Overheating,23.42,299819.43,2024-05-28
435,102,Voltage Drop,37.33,341769.58,2024-03-19
436,12,Transformer Failure,45.55,303368.83,2024-08-25
437,123,Transformer Failure,26.54,487394.48,2024-10-20
438,99,Grid Instability,44.07,64948.43,2024-09-19
439,103,Grid Instability,35.19,95511.48,2023-06-20
440,163,Transformer Failure,38.45,34134.27,2023-10-28
441,25,Overheating,12.79,404931.36,2023-01-15
442,129,Transformer Failure,12.78,274858.59,2024-07-11
443,138,Voltage Drop,43.22,488576.77,2024-07-28
444,199,Voltage Drop,35.92,310161.18,2024-06-03
445,18,Overheating,31.09,41440.36,2023-10-22
446,55,Voltage Drop,15.34,302265.36,2024-03-09
447,11,Grid Instability,42.31,49205.64,2023-04-01
448,138,Transformer Failure,23.39,12801.23,2023-04-13
449,40,Overheating,28.5,373383.37,2023-04-10
450,19,Transformer Failure,23.2,321900.46,2023-10-29
451,3,Transformer Failure,22.85,217425.49,2023-11-15
452,100,Grid Instability,42.67,385341.74,2024-05-17
453,30,Overheating,9.57,185093.06,2024-06-19
454,91,Transformer Failure,22.12,279373.16,2023-07-20
455,36,Overheating,39.71,180417.74,2023-08-12
456,42,Transformer Failure,31.84,338796.78,2024-06-14
457,137,Transformer Failure,11.67,89021.87,2024-08-27
458,75,Overheating,44.5,383819.14,2024-04-10
459,145,Transformer Failure,44.1,311358.68,2024-11-17
460,21,Voltage Drop,20.66,240706.43,2024-05-11
461,66,Voltage Drop,23.03,468912.36,2023-02-21
462,111,Voltage Drop,1.5,298759.15,2024-06-20
463,70,Transformer Failure,26.85,159100,2023-06-09
464,188,Grid Instability,40.69,140495.76,2023-02-19
465,200,Grid Instability,35.37,417752.61,2023-07-18
466,36,Grid Instability,38.15,289888.22,2024-08-30
467,109,Voltage Drop,45.13,106276.81,2024-07-09
468,86,Grid Instability,46.64,228281.08,2023-01-19
469,181,Grid Instability,21.3,457730.33,2023-12-30
470,29,Grid Instability,18.68,418228.74,2023-02-12
471,195,Grid Instability,12.59,291935.04,2023-06-14
472,10,Overheating,16.06,290371.55,2024-05-09
473,77,Voltage Drop,46.82,348963.29,2024-07-07
474,56,Voltage Drop,28.3,160967.13,2023-12-23
475,145,Grid Instability,44.73,176815.3,2024-05-25
476,129,Transformer Failure,44.49,373454.82,2024-07-03
477,21,Transformer Failure,3.8,448861.01,2024-02-29
478,83,Transformer Failure,31.54,293233.08,2024-02-07
479,170,Grid Instability,15.57,370109.33,2023-11-15
480,197,Voltage Drop,40.42,210714.07,2023-01-11
481,180,Grid Instability,26.08,28497.71,2023-04-09
482,59,Transformer Failure,43.53,235826.07,2024-11-14
483,27,Voltage Drop,29.92,228341.84,2024-11-02
484,134,Overheating,22.08,138441.23,2024-03-16
485,59,Transformer Failure,18.38,393761.12,2023-06-23
486,77,Voltage Drop,35.58,91652.66,2023-09-25
487,124,Transformer Failure,19.92,69027.63,2023-02-16
488,45,Overheating,45.34,54792.95,2024-01-17
489,138,Grid Instability,19.62,27764.91,2024-11-06
490,115,Transformer Failure,28.72,469933.89,2023-03-17
491,30,Grid Instability,36.9,236393.61,2023-07-30
492,88,Transformer Failure,15.43,140776.1,2023-05-13
493,143,Transformer Failure,14.19,33402.67,2023-04-20
494,59,Voltage Drop,30.18,266352.39,2024-08-12
495,82,Transformer Failure,29.66,94386.74,2024-03-31
496,9,Voltage Drop,46.89,193582.54,2023-09-05
497,116,Overheating,7.19,46564.13,2023-03-18
498,109,Grid Instability,34.95,155473.57,2024-06-26
499,200,Voltage Drop,17.62,284261.01,2024-06-01
500,165,Grid Instability,5.27,312310.99,2024-03-03
501,96,Grid Instability,17.14,330201.03,2024-06-06
502,159,Grid Instability,27.7,483878.94,2024-04-23
503,158,Overheating,7.18,446615.37,2023-04-28
504,90,Transformer Failure,13.51,422751.95,2024-04-08
505,146,Transformer Failure,5.48,129998.61,2024-08-12
506,163,Grid Instability,15.29,438074.21,2024-04-10
507,120,Overheating,28.56,89275.91,2023-01-09
508,117,Overheating,12.23,436854.02,2024-02-10
509,187,Grid Instability,31.16,432044.03,2024-02-05
510,74,Voltage Drop,12.92,37776.31,2024-01-03
511,25,Transformer Failure,36.93,250412.93,2024-11-04
512,31,Grid Instability,27.36,359078.56,2024-05-30
513,31,Voltage Drop,42.2,184637.73,2024-11-28
514,58,Grid Instability,13.5,99547.42,2024-09-27
515,114,Transformer Failure,24.78,98553.84,2023-04-17
