credit_id,plant_id,credits_generated,market_price_usd,transaction_date
181,151,5466.11,10.96,2023-01-17
182,67,4811.57,11.01,2024-12-01
183,144,1842.41,72.41,2023-04-22
184,196,1670.16,20.16,2023-11-25
185,36,2215.69,22.53,2024-11-26
186,52,1657.78,21.73,2023-01-27
187,145,8722.25,10.01,2024-01-24
188,159,1228.74,50.05,2024-02-13
189,170,5800.05,20.72,2024-09-24
190,77,8577.5,85.05,2024-10-30
191,22,4270.38,28.34,2023-07-29
192,138,5944.45,12.74,2023-09-23
193,76,212.57,72.8,2023-09-21
194,102,3226.93,87.54,2023-03-26
195,106,2208.66,94.99,2023-03-17
196,30,9594.49,21.26,2024-12-14
197,81,2388.27,36.76,2023-10-10
198,26,6236.52,38.09,2023-07-27
199,57,383.33,91.86,2023-07-23
200,128,7797.01,30.22,2024-03-15
201,125,3635.26,39.48,2024-02-21
202,50,8334.15,76.77,2024-03-12
203,112,6810.16,96.44,2024-12-20
204,133,8875.12,63.62,2024-11-04
205,20,2915.2,93.75,2023-07-20
206,14,3025.49,75.43,2023-04-12
207,15,2856.58,82.59,2024-05-04
208,38,9717.59,50.09,2024-10-16
209,95,6047.83,51.66,2023-06-13
210,2,155.89,31.14,2024-12-25
211,113,4927.37,19.17,2023-09-11
212,63,8507.65,88.6,2023-03-01
213,162,7292.89,67.22,2023-01-24
214,107,3778.52,82.61,2023-07-13
215,155,1351.38,89.27,2024-07-29
216,15,7916.89,8.65,2024-11-26
217,114,3436.25,25.43,2023-09-04
218,115,116.09,61.86,2024-03-15
219,45,9118.83,96.04,2023-01-02
220,136,2764.34,15.39,2024-03-10
221,176,5481.21,36.32,2024-06-14
222,95,7926.22,79.39,2024-09-24
223,110,5000.88,52.69,2024-02-07
224,163,8929.25,10.41,2024-06-18
225,47,1777.28,81.3,2024-10-10
226,156,4274.59,82.73,2024-05-16
227,6,3660.53,24.57,2023-04-12
228,99,4315.04,32.61,2024-12-07
229,193,9454.05,98.88,2024-02-03
230,107,4242.39,36.92,2023-12-19
231,113,6371,95.36,2024-02-20
232,138,3545.69,47.53,2024-10-02
233,13,2167.96,63.08,2024-05-04
234,25,1807.54,8.11,2023-02-25
235,38,5335.64,51.72,2023-08-06
236,83,7430.14,90.83,2023-05-01
237,123,8787.49,34.89,2024-07-09
238,192,3859.41,61.41,2023-06-14
239,118,2669.34,50.14,2024-01-31
240,119,1669.97,54.43,2023-04-09
241,52,7114.08,72.51,2023-06-02
242,9,7535.83,13.74,2023-04-15
243,120,8024.21,66.56,2023-12-22
244,59,1975.51,21.13,2023-01-13
245,138,3409.42,73.38,2023-04-05
246,18,4597.7,54.79,2024-06-22
247,135,2785.53,15.87,2024-01-06
248,197,6035.5,33.42,2024-12-05
249,107,5823.41,99.42,2024-04-07
250,196,1573.23,36.56,2023-01-18
251,129,2672.73,55.28,2023-02-12
252,16,5495.17,31.57,2024-08-29
253,181,1688.8,28.74,2024-05-21
254,136,3601.97,70.96,2024-05-09
255,49,3956.83,73.75,2023-09-02
256,148,5530.15,95.58,2023-01-04
257,56,9637.23,91.51,2024-03-30
258,18,8743.93,42.33,2024-02-21
259,54,2679.17,96.8,2023-04-16
260,20,6617.22,41.6,2023-08-28
261,100,3753.93,72.11,2024-12-26
262,163,8371.94,34.59,2024-01-05
263,74,9904.02,87,2024-08-03
264,103,4546.65,44.58,2023-05-27
265,14,8079.6,89.88,2023-02-15
266,62,6676.79,89.58,2023-05-17
267,172,8036.65,43.37,2023-11-18
268,85,4241.91,78.71,2023-06-22
269,197,1114.13,15.32,2024-09-07
270,33,6535.95,75.97,2024-03-17
271,50,4204.57,18.72,2024-09-10
272,192,5664.29,68.66,2024-09-04
273,38,8030.19,48.87,2023-02-14
274,179,5957.69,89.08,2023-08-10
275,90,4741.62,15.77,2024-12-04
276,150,3650.79,66.29,2023-02-12
277,97,8462.55,85.86,2024-03-10
278,47,1904.64,59.14,2024-01-17
279,84,9182.05,51.29,2024-08-05
280,147,6756.5,62.58,2024-11-07
281,1,1344.37,26.35,2024-03-08
282,86,6653.32,62.53,2024-09-03
283,155,9916.23,19.72,2023-03-21
284,198,164.88,83.5,2024-06-22
285,30,6069,74.85,2023-01-29
286,2,6222.61,83.83,2024-02-27
287,99,9988.68,96.95,2023-10-20
288,189,921.5,14.93,2024-01-26
289,105,7578.87,35.5,2023-04-18
290,109,8956.11,8.6,2023-06-13
291,115,6565.91,25.78,2024-12-11
292,82,2140.19,25.14,2023-11-27
293,79,3804.47,83.39,2024-08-01
294,12,3274.76,69.88,2023-09-22
295,194,1145.63,7.13,2023-12-29
296,7,2514.78,46.01,2023-10-13
297,168,5117.6,88.99,2024-08-09
298,67,7233.3,31.24,2023-12-19
299,82,7712.88,70.79,2023-01-13
300,11,9117.8,17.23,2023-09-21
301,40,6135.49,8.56,2024-08-31
302,69,6197.25,68.24,2024-09-29
303,110,234.04,79.69,2023-02-08
304,73,4675.8,65.72,2024-06-14
305,65,8268.13,30.15,2023-07-29
306,23,7546.52,85.62,2024-05-21
307,141,7924.8,71.02,2023-07-09
308,4,9281.4,82.85,2024-05-26
309,140,2092.67,25.87,2024-10-09
310,108,8818.47,12.03,2023-10-25
311,118,7897.73,42.51,2023-11-04
312,130,7118.39,81.31,2023-11-15
313,4,1007.31,57.13,2024-02-14
314,156,1614.1,75.41,2024-04-21
315,144,7270.72,40.24,2024-12-25
316,46,9408.91,7.45,2023-04-25
317,20,4501.11,43.02,2024-08-20
318,161,2314.96,65.03,2024-05-14
319,160,850.45,20.65,2023-11-21
320,3,3501.44,73.24,2024-03-02
321,19,9305.45,13.61,2023-07-31
322,26,4779.97,27.47,2024-04-08
323,58,5129.47,76.94,2024-12-30
324,115,2049.96,62.25,2023-12-24
325,148,4152.77,80.33,2024-08-05
326,130,2217.53,29.07,2024-02-22
327,88,1339.76,16.39,2024-07-17
328,172,4367.57,27.15,2024-09-29
329,90,3337.93,50.26,2024-03-02
330,32,6047.84,60.86,2023-09-27
331,168,2768.22,90.93,2023-10-16
332,23,6765.93,97.19,2023-01-20
333,170,2353.36,63.02,2023-10-13
334,25,6967.83,16.09,2024-08-07
335,50,372.73,31.59,2023-02-19
336,123,7304.93,38.5,2024-04-10
337,6,3319.63,30.97,2023-09-21
338,171,5140.85,53.33,2023-06-09
339,199,9560.97,5.42,2023-08-23
340,147,720.03,17.99,2024-11-17
341,200,4430.89,79.03,2024-03-06
342,41,8857.06,29.68,2024-08-05
343,34,1108.48,31.68,2024-02-04
344,2,1819.54,15.78,2023-05-27
345,173,7343.8,53.75,2023-10-14
346,84,3604.27,26.41,2024-09-28
347,5,6014.28,24.65,2024-05-03
348,40,4565.24,62.17,2024-05-09
349,18,9188.65,55.73,2023-05-12
350,175,8624.83,12.99,2023-09-03
351,53,5208.9,67.12,2023-07-22
352,97,9736.94,94.43,2024-12-24
353,168,2121.06,38.74,2023-11-08
354,7,2470.65,75.73,2023-07-12
355,8,6405.04,37.4,2024-11-22
356,123,1378.07,31.02,2024-01-17
357,37,5633.57,93.22,2024-09-23
358,21,8141.24,37.29,2024-10-06
359,3,6571.93,51.99,2024-07-31
360,18,4268.98,48.94,2023-03-31
361,95,5848.16,35.26,2023-10-25
362,141,2279.61,83.71,2024-05-01
363,43,2261.47,19.66,2023-11-22
364,77,4096.51,42.33,2024-04-23
365,167,1783.81,19.52,2024-08-18
366,32,1008.86,46.35,2023-02-03
367,78,7986.36,42.45,2023-12-22
368,104,7821.77,9.27,2024-03-12
369,18,8159.63,83.52,2024-12-06
370,99,593.67,73.51,2023-11-23
371,87,637.28,23.54,2024-04-11
372,32,5484.3,84.4,2023-12-20
373,66,4443.27,76.66,2024-10-13
374,174,8836.01,91.52,2023-12-03
375,140,5850.64,82.03,2023-08-14
376,141,6224.23,72.83,2023-11-16
377,40,6061.96,26.57,2024-09-23
378,139,5267.3,8.83,2024-10-25
379,59,4357.16,37.8,2024-07-28
380,141,5995.51,87.5,2024-09-05
381,135,9113.62,38.3,2024-08-17
382,104,7465.46,66.9,2024-12-02
383,137,3008.03,94.46,2024-03-13
384,156,6976.13,30.41,2024-08-07
385,89,6710.82,19.59,2023-09-11
386,168,6755.88,79.31,2023-02-11
387,122,2875.31,48.25,2023-08-19
388,184,2948.6,9.25,2024-05-21
389,139,8531.1,89.41,2023-10-02
390,10,3711.91,62.83,2023-05-02
391,22,6126.08,95.33,2024-09-09
392,98,5845.61,75.36,2024-03-17
393,67,2072.75,29.56,2024-03-29
394,125,5578.62,47.84,2023-05-25
395,85,5190.53,62.87,2023-07-30
396,47,1838.09,82.74,2024-04-28
397,68,2428.4,28,2024-08-28
398,32,6282.87,20.35,2023-01-18
399,61,6067.94,40.61,2023-02-28
400,23,6349.74,37.75,2023-05-17
401,146,3129.16,41.22,2023-09-01
402,9,7241.71,65.06,2023-06-07
403,96,8063.86,88.74,2023-01-12
404,111,3940.51,54.77,2024-02-12
405,163,6330.19,61.33,2023-07-31
406,193,9797.3,80.82,2023-09-22
407,165,6214.32,27.13,2023-06-10
408,17,5722.41,79.16,2024-06-04
409,53,2231.46,37.85,2023-06-12
410,50,4301.52,26.16,2023-05-02
411,101,5122.24,40.91,2024-06-24
412,137,7425.22,24.03,2023-10-11
413,167,1366.23,97.4,2023-08-21
414,181,7361.62,64.09,2023-09-22
415,145,3498.59,8.4,2023-01-14
416,127,804.65,79.16,2023-05-31
417,84,4158.17,10.04,2024-11-05
418,8,1683.53,94.27,2024-07-07
419,177,756.21,91.6,2023-03-26
420,140,6371.07,27.81,2024-12-25
421,183,4741.9,67.27,2024-06-10
422,84,4176.37,70.92,2023-12-08
423,33,144.52,69.52,2023-09-25
424,19,4751.23,70.37,2023-01-16
425,91,8259.27,15.17,2023-11-21
426,78,8307.43,58.9,2024-09-14
427,182,4480.7,34.24,2024-01-20
428,57,339.96,44.01,2024-10-25
429,7,3145.31,39.64,2024-03-15
430,92,7294.07,74.5,2024-10-17
431,86,9287.42,14.34,2023-02-27
432,107,1608.75,81.13,2024-03-20
433,70,7707.34,86.15,2023-06-09
434,130,4698.07,34.1,2024-06-29
435,94,6205.84,20.8,2024-10-13
436,120,7915.38,91.28,2023-07-12
437,76,6808.59,39.87,2024-01-09
438,37,3986.32,83.28,2023-11-26
439,130,3055.15,81.8,2024-03-30
440,174,691.71,51.12,2024-04-16
441,71,884.54,60.06,2023-03-12
442,33,9614.45,83.04,2024-08-01
443,52,800.67,32.9,2024-10-05
444,159,9178.33,14.95,2023-11-11
445,138,9933.25,71.01,2023-07-11
446,186,1984.07,33.07,2023-12-27
447,73,860.23,82.19,2024-08-28
448,25,544.62,13.75,2023-08-30
449,167,7138.18,97.37,2023-07-04
450,93,8339,44.52,2023-12-08
451,64,2947.18,28.87,2024-09-27
452,142,7335.84,71.17,2024-04-09
453,82,7725.13,83.51,2024-03-16
454,189,2327.53,14.29,2024-11-08
455,200,1595.46,89.42,2024-03-14
456,151,8243.53,29.62,2024-03-17
457,147,8523.77,65.83,2023-06-08
458,94,6832.18,22.18,2023-05-08
459,46,9931.88,46.02,2023-07-11
460,95,4508.4,97.42,2023-06-04
461,61,6581.68,58.82,2023-05-14
462,109,3294.01,88.13,2024-11-09
463,28,8946.04,27.66,2023-01-27
464,117,402.08,82.21,2023-06-01
465,164,9418.39,71.77,2024-07-08
466,197,8121.19,37.9,2024-12-25
467,19,4889.97,64.92,2024-10-07
468,54,3342.6,98.28,2023-03-28
469,184,5076.42,75.07,2023-09-26
470,61,3043.27,17.48,2024-02-21
471,55,5781.31,29.19,2023-02-16
472,22,5579.7,89.72,2024-08-25
473,65,9969.48,43.06,2023-12-02
474,56,8836.43,16.61,2023-10-11
475,4,250.68,27.34,2024-01-19
476,56,1029,92.19,2024-06-03
477,126,1230.67,60.26,2023-12-12
478,150,1861.56,41.64,2024-06-06
479,132,8103.97,77.57,2024-10-16
480,195,5901.03,49.62,2023-12-07
481,54,6416.74,9.61,2023-01-18
482,52,3751.45,74.32,2024-05-28
483,88,2126.29,64.05,2023-10-14
484,20,693.89,6.18,2024-06-21
485,59,7143.05,51.59,2023-05-31
486,17,8580.23,90.52,2024-04-18
487,7,969.49,72.33,2024-02-09
488,92,7544.77,32.56,2023-11-03
489,26,3354.05,12.74,2024-11-20
490,15,871.31,37.46,2023-11-18
491,91,3032.05,45.86,2024-11-15
492,185,3355.95,5.06,2024-04-05
493,172,1875.78,52.39,2023-01-18
494,24,9289.81,94.05,2023-07-15
495,45,7392.23,89.17,2023-05-14
496,84,9105.97,36.56,2023-12-16
497,133,8407.61,99.57,2023-05-28
498,130,4019.33,98.65,2024-12-13
499,6,3161.98,96.77,2024-04-10
500,65,3034.79,29.26,2024-08-24
501,171,4791.08,65.97,2024-10-17
502,95,5415.66,34.05,2024-06-05
503,96,5844.15,70.15,2023-11-14
504,161,2637.67,13.53,2024-10-01
505,150,5247.24,33.77,2023-07-13
506,165,6124.85,58.01,2024-01-07
507,128,7905.84,80.73,2023-12-12
508,146,9600.65,48.64,2024-11-21
509,69,1769.44,80.97,2024-07-03
510,97,1171.99,63.8,2024-10-30
511,73,7452.95,13.52,2023-02-15
512,12,4108.72,39.58,2024-10-08
513,186,7920.63,23.93,2023-07-08
514,164,5888.42,22.08,2023-11-10
515,45,5021.48,37.84,2023-11-08
516,164,5926.02,59.25,2023-12-05
517,179,9531.22,75.21,2024-06-02
518,93,7960.66,44.03,2023-02-23
519,166,9635.28,66.74,2024-02-14
520,109,1413.94,8.43,2024-08-24
521,62,3628.57,24.68,2023-12-30
522,115,3782.49,90.33,2024-02-28
523,49,2647.04,48.03,2023-12-09
524,28,8075.84,24.87,2023-06-12
525,121,963.53,78.35,2023-11-16
526,100,3466.18,12.41,2023-08-09
527,28,8282.38,93.6,2024-06-28
528,200,7973.87,33.17,2023-02-18
529,169,2313.78,81.92,2023-04-03
530,144,2135.59,18.09,2023-06-25
531,189,3611.16,82.97,2023-09-06
532,122,6912.96,34.2,2023-07-18
533,194,7239.51,77.17,2024-06-18
534,4,191.7,5.31,2024-03-09
535,161,8018.48,39.77,2023-01-23
536,43,4781.57,82.39,2023-05-16
537,163,8349.54,48.17,2024-11-26
538,66,3421.35,65.63,2024-10-19
539,43,3943.56,38.86,2024-06-16
540,59,6696.72,15.4,2023-04-27
541,148,4537.67,35.52,2024-08-03
542,127,8498.17,92.84,2024-12-05
543,9,8012.62,40.05,2024-08-02
544,46,635.13,92.54,2024-03-20
545,162,1129.02,39.16,2024-07-21
546,84,1948.51,75.47,2024-03-24
547,35,1845.74,48.38,2024-03-15
548,106,5096.37,31.62,2023-06-11
549,43,7647.8,42.3,2023-12-10
550,86,2915.89,10.83,2024-07-21
551,82,4689.88,8.42,2023-04-21
552,144,1328.09,23.55,2024-05-10
553,133,796.91,54.27,2024-03-20
554,102,1572.35,10.15,2023-05-07
555,6,2179.42,38.07,2023-06-06
556,136,3512.75,49.38,2023-06-14
557,69,837.23,33.77,2024-08-25
558,160,7339.87,36.28,2023-04-07
559,86,4161.64,86.21,2024-02-08
560,40,1828.27,12.46,2023-02-05
561,93,662.8,37.9,2023-02-20
562,31,2362.16,73.69,2024-03-13
563,195,7576.42,63.9,2023-01-31
564,70,9810.71,7.06,2023-10-19
565,75,1030.11,12.52,2024-04-04
566,91,8498.91,33.68,2023-11-09
567,170,6136.86,23.41,2023-01-01
568,80,2971.96,36.63,2024-12-16
569,122,6657.6,85.8,2024-08-15
570,23,4062.45,68.17,2024-08-06
571,64,8102.39,48.25,2023-03-29
572,68,2307.65,99.21,2024-08-19
573,9,5812.5,48.12,2024-09-14
574,6,2954.59,18.25,2023-03-14
575,56,261.56,20.43,2024-03-20
576,80,3896.85,76.61,2024-10-22
577,93,8471.03,91.06,2024-03-12
578,119,7948.56,21.84,2024-06-30
579,21,3701.06,53.3,2024-06-06
580,53,6576.75,12.61,2024-10-03
581,30,1246.73,18.72,2023-01-14
582,94,4964.31,68.86,2023-03-30
583,187,5401.38,16.31,2023-03-04
584,106,2329.48,48.57,2024-09-08
585,156,587.05,22.58,2023-05-22
586,118,7699.18,65.51,2024-01-21
587,98,4572.61,81.95,2023-08-15
588,3,2425.08,89.37,2024-07-03
589,164,765.36,79.29,2023-07-22
590,67,1664.13,5.98,2024-06-03
591,37,6068.63,45.83,2023-10-14
592,56,9723.18,8.78,2023-03-24
593,64,1327.2,80.54,2023-09-30
594,181,2315.08,53.51,2024-12-12
595,160,6421.61,17.87,2024-10-01
596,50,779.56,11.13,2024-06-02
597,19,9437.03,9.33,2023-05-17
598,167,5233.02,53.08,2024-02-24
599,129,8001.57,81.38,2024-08-23
600,33,5826.97,74.54,2024-06-19
601,109,4767.02,63.35,2023-03-03
602,75,4739.63,22.63,2024-08-13
603,109,1236.46,89.02,2024-01-07
604,68,8054.73,94.37,2024-04-20
605,140,7690.97,63.12,2023-04-22
606,139,3665.55,94.99,2024-06-27
607,157,6172.71,70.13,2023-03-17
608,161,3955.85,86.1,2023-12-31
609,40,3515.85,68.9,2024-04-16
610,161,4112.88,96.81,2024-09-23
611,166,6434.65,55.52,2024-05-22
612,54,2728.47,89.74,2023-12-11
613,13,9560.45,85.37,2023-06-21
614,151,8139.32,60.3,2024-07-03
615,152,3881.54,37.91,2024-05-28
616,153,3795.66,63.98,2023-12-19
617,17,524.86,58.07,2023-11-19
618,139,625.03,39.35,2023-10-31
619,17,8863.16,92.71,2023-05-21
620,19,5764.59,31.01,2023-06-21
621,184,7134.33,92.27,2024-09-15
622,39,2593.87,98.32,2023-11-17
623,101,7762.1,38.2,2024-03-16
624,52,7701.14,42.83,2024-06-01
625,128,1017.62,9.23,2023-03-06
626,174,5429.34,93.1,2023-08-15
627,77,8752.93,48.71,2023-10-08
628,81,7974.81,53.63,2024-05-24
629,152,9588.96,39.36,2023-12-26
630,44,2265.06,22.79,2023-10-09
631,61,6158.09,60.06,2024-06-21
632,75,3889.47,65.77,2024-02-05
633,113,2588.19,55.73,2023-09-08
634,172,9741.12,18.03,2024-03-08
635,11,3989.17,76.52,2023-03-05
636,39,3676.23,51.01,2023-06-18
637,147,2151.35,12.92,2024-12-19
638,10,614.85,67.92,2023-12-10
639,157,1021.6,67.8,2024-08-16
640,168,1071.53,34.33,2024-10-25
641,15,9040.23,57.69,2024-05-08
642,180,3126.31,52.45,2024-09-24
643,74,5712.58,32.82,2024-02-16
644,55,8988.11,16.7,2024-06-25
645,12,9356.25,99.34,2024-07-12
646,40,1249.89,29.4,2023-12-04
647,120,2583.73,98.11,2024-10-24
648,148,6321.61,6.77,2024-12-19
649,136,8902.7,10.04,2024-01-04
650,77,9485.75,70.77,2024-05-08
651,147,8190.56,45.93,2024-04-21
652,195,2222.52,17.53,2023-03-12
653,56,6719.06,30.88,2024-12-07
654,16,422.15,84.41,2023-09-07
655,110,5147.33,64.6,2024-11-15
656,67,4483.45,80.29,2023-09-16
657,153,504.67,59.92,2024-07-20
658,66,6613.7,18.8,2024-08-23
659,169,9815.6,24.05,2024-01-17
660,2,8498.39,87.96,2023-06-01
661,39,5561.92,75.76,2023-08-17
662,28,8206.65,6.19,2024-11-10
663,43,1027.79,41.51,2024-12-26
664,144,2541.43,89.2,2023-10-03
665,144,5566.09,21.43,2024-10-06
666,175,5152.04,51.8,2023-04-17
667,189,1886.11,92.41,2024-08-05
668,13,5538.8,75.97,2023-10-01
669,116,8274.13,67.14,2023-11-20
670,69,9620.42,61.1,2023-07-13
671,165,6076.58,89.02,2024-02-06
672,141,7544.67,15.34,2024-01-30
673,23,8471.88,97.33,2024-12-23
674,179,9139.57,36.92,2023-09-20
675,116,3850.32,95.12,2023-03-18
676,165,5220.05,27.54,2023-03-11
677,141,462.81,19.38,2024-08-22
678,180,7322.36,30.62,2023-02-27
679,192,6509.14,26.08,2024-07-06
680,63,4574.48,90.71,2023-06-05
681,124,7667.23,61.45,2024-12-09
682,186,7437.77,80.72,2023-02-26
683,190,3079.21,21.53,2024-07-03
684,57,805.27,59.37,2023-07-11
685,111,1237.05,33.78,2024-06-28
686,33,1573.72,35.95,2024-09-05
687,87,6366.78,49.17,2023-05-14
688,58,8784.55,11.82,2024-02-19
689,13,6652.4,37.88,2023-06-03
690,142,1619.83,73.15,2023-08-11
691,20,6665.95,48.33,2023-03-26
692,81,8055.01,55.12,2024-05-07
693,129,6738.49,32.78,2023-08-04
694,53,5433.74,20.2,2024-10-30
695,128,4989.87,9.55,2023-03-02
696,158,947.74,71.78,2023-11-24
697,169,1566.14,12.42,2024-01-26
698,34,2056.81,89.06,2024-06-18
699,112,4610.66,8.96,2023-10-26
700,90,2590.16,88.25,2024-10-31
